Year,Semester,Week_Released,Week_Deadline,Current_Week,Weeks_Left,Weight,Difficulty,Estimated_Hours,Current_Workload,Procrastination_Score,Avg_Delay_History,Urgency,PriorityClass,Task_Type_Exam,Task_Type_Project,Task_Type_Quiz,Task_Type_Report
2,1,3,12,9,3,60,7.5,10,8.077429935,0.804605971,0.692475624,0.108861544,2,False,False,False,False
2,1,2,12,6,6,40,7.0,10,8.077429935,0.804605971,0.692475624,0.008229747,2,True,False,False,False
2,1,3,12,11,1,60,7.0,10,8.077429935,0.804605971,0.692475624,0.539194757,0,False,False,False,False
2,1,1,6,2,4,30,6.5,10,8.077429935,0.804605971,0.692475624,0.036685984,2,False,False,False,True
2,2,3,12,6,6,100,8.8,14,8.077429935,0.804605971,0.692475624,0.009875696,0,False,False,False,False
2,2,1,12,9,3,70,9.5,22,8.077429935,0.804605971,0.692475624,0.117933339,0,False,True,False,False
2,2,3,12,4,8,100,8.6,12,8.077429935,0.804605971,0.692475624,0.001993869,0,False,False,False,False
2,2,2,12,11,1,40,7.5,8,8.077429935,0.804605971,0.692475624,0.449328964,2,True,False,False,False
2,2,3,12,11,1,60,8.0,10,8.077429935,0.804605971,0.692475624,0.539194757,0,False,False,False,False
1,1,2,12,4,8,100,7.0,8,7.260456388,0.655838527,0.179780449,0.001661557,2,True,False,False,False
1,1,4,12,4,8,100,8.2,12,7.260456388,0.655838527,0.179780449,0.001993869,0,False,False,False,False
1,1,3,11,6,5,100,5.0,7,7.260456388,0.655838527,0.179780449,0.021978767,2,False,False,False,False
1,2,4,11,5,6,60,8.5,12,7.260456388,0.655838527,0.179780449,0.009875696,2,False,False,False,False
1,2,2,12,9,3,40,6.0,6,7.260456388,0.655838527,0.179780449,0.090717953,1,True,False,False,False
1,2,3,12,6,6,100,8.0,12,7.260456388,0.655838527,0.179780449,0.009875696,0,False,False,False,False
1,2,3,12,4,8,60,7.0,9,7.260456388,0.655838527,0.179780449,0.001993869,2,False,False,False,False
1,2,2,12,7,5,40,7.0,8,7.260456388,0.655838527,0.179780449,0.018315639,1,True,False,False,False
2,1,5,12,10,2,100,8.5,12,7.260456388,0.655838527,0.179780449,0.242275822,0,False,False,False,False
2,1,5,12,6,6,40,6.5,6,7.260456388,0.655838527,0.179780449,0.006583798,1,False,False,True,False
2,1,3,12,6,6,60,7.5,10,7.260456388,0.655838527,0.179780449,0.009875696,2,False,False,False,False
2,1,2,12,7,5,40,7.0,10,7.260456388,0.655838527,0.179780449,0.018315639,1,True,False,False,False
2,1,3,12,4,8,60,7.0,10,7.260456388,0.655838527,0.179780449,0.001993869,2,False,False,False,False
2,1,1,6,2,4,30,6.5,10,7.260456388,0.655838527,0.179780449,0.036685984,1,False,False,False,True
2,2,3,12,4,8,100,8.8,14,7.260456388,0.655838527,0.179780449,0.001993869,0,False,False,False,False
2,2,1,12,10,2,70,9.5,22,7.260456388,0.655838527,0.179780449,0.262465473,0,False,True,False,False
2,2,3,12,6,6,100,8.6,12,7.260456388,0.655838527,0.179780449,0.009875696,0,False,False,False,False
2,2,2,12,9,3,40,7.5,8,7.260456388,0.655838527,0.179780449,0.090717953,2,True,False,False,False
2,2,3,12,9,3,60,8.0,10,7.260456388,0.655838527,0.179780449,0.108861544,2,False,False,False,False
1,1,2,12,6,6,100,7.0,8,5.051001336,0.574623783,0.512892848,0.008229747,2,True,False,False,False
1,1,4,12,5,7,100,8.2,12,5.051001336,0.574623783,0.512892848,0.004437436,0,False,False,False,False
1,1,3,11,7,4,100,5.0,7,5.051001336,0.574623783,0.512892848,0.048914645,2,False,False,False,False
1,2,4,11,11,0,60,8.5,12,5.051001336,0.574623783,0.512892848,1.0,0,False,False,False,False
1,2,2,12,11,1,40,6.0,6,5.051001336,0.574623783,0.512892848,0.449328964,2,True,False,False,False
1,2,3,12,11,1,100,8.0,12,5.051001336,0.574623783,0.512892848,0.539194757,0,False,False,False,False
1,2,3,12,11,1,60,7.0,9,5.051001336,0.574623783,0.512892848,0.539194757,0,False,False,False,False
1,2,2,12,2,10,40,7.0,8,5.051001336,0.574623783,0.512892848,0.000335463,1,True,False,False,False
2,1,5,12,5,7,100,8.5,12,5.051001336,0.574623783,0.512892848,0.004437436,0,False,False,False,False
2,1,5,12,11,1,40,6.5,6,5.051001336,0.574623783,0.512892848,0.359463171,2,False,False,True,False
2,1,3,12,11,1,60,7.5,10,5.051001336,0.574623783,0.512892848,0.539194757,0,False,False,False,False
2,1,2,12,9,3,40,7.0,10,5.051001336,0.574623783,0.512892848,0.090717953,1,True,False,False,False
2,1,3,12,3,9,60,7.0,10,5.051001336,0.574623783,0.512892848,0.000895903,2,False,False,False,False
2,1,1,6,4,2,30,6.5,10,5.051001336,0.574623783,0.512892848,0.181706866,1,False,False,False,True
2,2,3,12,10,2,100,8.8,14,5.051001336,0.574623783,0.512892848,0.242275822,0,False,False,False,False
2,2,1,12,8,4,70,9.5,22,5.051001336,0.574623783,0.512892848,0.052990865,2,False,True,False,False
2,2,3,12,5,7,100,8.6,12,5.051001336,0.574623783,0.512892848,0.004437436,0,False,False,False,False
2,2,2,12,2,10,40,7.5,8,5.051001336,0.574623783,0.512892848,0.000335463,1,True,False,False,False
2,2,3,12,10,2,60,8.0,10,5.051001336,0.574623783,0.512892848,0.242275822,0,False,False,False,False
1,1,2,12,10,2,100,7.0,8,4.58566822,0.678866466,0.550999559,0.201896518,2,True,False,False,False
1,1,4,12,10,2,100,8.2,12,4.58566822,0.678866466,0.550999559,0.242275822,0,False,False,False,False
1,1,3,11,11,0,100,5.0,7,4.58566822,0.678866466,0.550999559,1.0,0,False,False,False,False
1,2,4,11,11,0,60,8.5,12,4.58566822,0.678866466,0.550999559,1.0,0,False,False,False,False
1,2,2,12,3,9,40,6.0,6,4.58566822,0.678866466,0.550999559,0.000746586,1,True,False,False,False
1,2,3,12,3,9,100,8.0,12,4.58566822,0.678866466,0.550999559,0.000895903,0,False,False,False,False
1,2,3,12,9,3,60,7.0,9,4.58566822,0.678866466,0.550999559,0.108861544,2,False,False,False,False
1,2,2,12,8,4,40,7.0,8,4.58566822,0.678866466,0.550999559,0.040762204,1,True,False,False,False
2,1,5,12,10,2,100,8.5,12,4.58566822,0.678866466,0.550999559,0.242275822,0,False,False,False,False
2,1,5,12,12,0,40,6.5,6,4.58566822,0.678866466,0.550999559,0.8,2,False,False,True,False
2,1,3,12,7,5,60,7.5,10,4.58566822,0.678866466,0.550999559,0.021978767,2,False,False,False,False
2,1,2,12,4,8,40,7.0,10,4.58566822,0.678866466,0.550999559,0.001661557,1,True,False,False,False
2,1,3,12,10,2,60,7.0,10,4.58566822,0.678866466,0.550999559,0.242275822,0,False,False,False,False
2,1,1,6,6,0,30,6.5,10,4.58566822,0.678866466,0.550999559,0.9,2,False,False,False,True
2,2,3,12,5,7,100,8.8,14,4.58566822,0.678866466,0.550999559,0.004437436,0,False,False,False,False
2,2,1,12,1,11,70,9.5,22,4.58566822,0.678866466,0.550999559,0.000195953,2,False,True,False,False
2,2,3,12,5,7,100,8.6,12,4.58566822,0.678866466,0.550999559,0.004437436,0,False,False,False,False
2,2,2,12,6,6,40,7.5,8,4.58566822,0.678866466,0.550999559,0.008229747,1,True,False,False,False
2,2,3,12,5,7,60,8.0,10,4.58566822,0.678866466,0.550999559,0.004437436,2,False,False,False,False
1,1,2,12,8,4,100,7.0,8,8.076073133,0.375304521,0.472279121,0.040762204,2,True,False,False,False
1,1,4,12,12,0,100,8.2,12,8.076073133,0.375304521,0.472279121,1.0,0,False,False,False,False
1,1,3,11,5,6,100,5.0,7,8.076073133,0.375304521,0.472279121,0.009875696,2,False,False,False,False
1,2,4,11,10,1,60,8.5,12,8.076073133,0.375304521,0.472279121,0.539194757,0,False,False,False,False
1,2,2,12,8,4,40,6.0,6,8.076073133,0.375304521,0.472279121,0.040762204,1,True,False,False,False
1,2,3,12,3,9,100,8.0,12,8.076073133,0.375304521,0.472279121,0.000895903,0,False,False,False,False
1,2,3,12,6,6,60,7.0,9,8.076073133,0.375304521,0.472279121,0.009875696,2,False,False,False,False
1,2,2,12,5,7,40,7.0,8,8.076073133,0.375304521,0.472279121,0.003697864,1,True,False,False,False
2,1,5,12,10,2,100,8.5,12,8.076073133,0.375304521,0.472279121,0.242275822,0,False,False,False,False
2,1,5,12,9,3,40,6.5,6,8.076073133,0.375304521,0.472279121,0.072574363,1,False,False,True,False
2,1,3,12,9,3,60,7.5,10,8.076073133,0.375304521,0.472279121,0.108861544,2,False,False,False,False
2,1,2,12,8,4,40,7.0,10,8.076073133,0.375304521,0.472279121,0.040762204,2,True,False,False,False
2,1,3,12,6,6,60,7.0,10,8.076073133,0.375304521,0.472279121,0.009875696,2,False,False,False,False
2,1,1,6,5,1,30,6.5,10,8.076073133,0.375304521,0.472279121,0.404396068,2,False,False,False,True
2,2,3,12,9,3,100,8.8,14,8.076073133,0.375304521,0.472279121,0.108861544,0,False,False,False,False
2,2,1,12,11,1,70,9.5,22,8.076073133,0.375304521,0.472279121,0.584127653,0,False,True,False,False
2,2,3,12,5,7,100,8.6,12,8.076073133,0.375304521,0.472279121,0.004437436,0,False,False,False,False
2,2,2,12,7,5,40,7.5,8,8.076073133,0.375304521,0.472279121,0.018315639,2,True,False,False,False
2,2,3,12,4,8,60,8.0,10,8.076073133,0.375304521,0.472279121,0.001993869,2,False,False,False,False
1,1,2,12,5,7,100,7.0,8,4.789485732,0.206606423,0.578525894,0.003697864,2,True,False,False,False
1,1,4,12,10,2,100,8.2,12,4.789485732,0.206606423,0.578525894,0.242275822,0,False,False,False,False
1,1,3,11,11,0,100,5.0,7,4.789485732,0.206606423,0.578525894,1.0,0,False,False,False,False
1,2,4,11,10,1,60,8.5,12,4.789485732,0.206606423,0.578525894,0.539194757,0,False,False,False,False
1,2,2,12,2,10,40,6.0,6,4.789485732,0.206606423,0.578525894,0.000335463,1,True,False,False,False
1,2,3,12,3,9,100,8.0,12,4.789485732,0.206606423,0.578525894,0.000895903,2,False,False,False,False
1,2,3,12,11,1,60,7.0,9,4.789485732,0.206606423,0.578525894,0.539194757,0,False,False,False,False
1,2,2,12,12,0,40,7.0,8,4.789485732,0.206606423,0.578525894,1.0,2,True,False,False,False
2,1,5,12,10,2,100,8.5,12,4.789485732,0.206606423,0.578525894,0.242275822,0,False,False,False,False
2,1,5,12,5,7,40,6.5,6,4.789485732,0.206606423,0.578525894,0.002958291,1,False,False,True,False
2,1,3,12,6,6,60,7.5,10,4.789485732,0.206606423,0.578525894,0.009875696,1,False,False,False,False
2,1,2,12,10,2,40,7.0,10,4.789485732,0.206606423,0.578525894,0.201896518,1,True,False,False,False
2,1,3,12,5,7,60,7.0,10,4.789485732,0.206606423,0.578525894,0.004437436,1,False,False,False,False
2,1,1,6,6,0,30,6.5,10,4.789485732,0.206606423,0.578525894,0.9,2,False,False,False,True
2,2,3,12,10,2,100,8.8,14,4.789485732,0.206606423,0.578525894,0.242275822,0,False,False,False,False
2,2,1,12,11,1,70,9.5,22,4.789485732,0.206606423,0.578525894,0.584127653,0,False,True,False,False
2,2,3,12,11,1,100,8.6,12,4.789485732,0.206606423,0.578525894,0.539194757,0,False,False,False,False
2,2,2,12,6,6,40,7.5,8,4.789485732,0.206606423,0.578525894,0.008229747,1,True,False,False,False
2,2,3,12,3,9,60,8.0,10,4.789485732,0.206606423,0.578525894,0.000895903,1,False,False,False,False
1,1,2,12,12,0,100,7.0,8,3.395445462,0.308930711,0.331457097,1.0,0,True,False,False,False
1,1,4,12,9,3,100,8.2,12,3.395445462,0.308930711,0.331457097,0.108861544,2,False,False,False,False
1,1,3,11,10,1,100,5.0,7,3.395445462,0.308930711,0.331457097,0.539194757,0,False,False,False,False
1,2,4,11,4,7,60,8.5,12,3.395445462,0.308930711,0.331457097,0.004437436,1,False,False,False,False
1,2,2,12,5,7,40,6.0,6,3.395445462,0.308930711,0.331457097,0.003697864,1,True,False,False,False
1,2,3,12,3,9,100,8.0,12,3.395445462,0.308930711,0.331457097,0.000895903,2,False,False,False,False
1,2,3,12,3,9,60,7.0,9,3.395445462,0.308930711,0.331457097,0.000895903,1,False,False,False,False
1,2,2,12,11,1,40,7.0,8,3.395445462,0.308930711,0.331457097,0.449328964,2,True,False,False,False
2,1,5,12,8,4,100,8.5,12,3.395445462,0.308930711,0.331457097,0.048914645,2,False,False,False,False
2,1,5,12,8,4,40,6.5,6,3.395445462,0.308930711,0.331457097,0.032609763,1,False,False,True,False
2,1,3,12,9,3,60,7.5,10,3.395445462,0.308930711,0.331457097,0.108861544,1,False,False,False,False
2,1,2,12,3,9,40,7.0,10,3.395445462,0.308930711,0.331457097,0.000746586,1,True,False,False,False
2,1,3,12,5,7,60,7.0,10,3.395445462,0.308930711,0.331457097,0.004437436,1,False,False,False,False
2,1,1,6,1,5,30,6.5,10,3.395445462,0.308930711,0.331457097,0.016484075,1,False,False,False,True
2,2,3,12,7,5,100,8.8,14,3.395445462,0.308930711,0.331457097,0.021978767,2,False,False,False,False
2,2,1,12,1,11,70,9.5,22,3.395445462,0.308930711,0.331457097,0.000195953,2,False,True,False,False
2,2,3,12,10,2,100,8.6,12,3.395445462,0.308930711,0.331457097,0.242275822,0,False,False,False,False
2,2,2,12,2,10,40,7.5,8,3.395445462,0.308930711,0.331457097,0.000335463,1,True,False,False,False
2,2,3,12,3,9,60,8.0,10,3.395445462,0.308930711,0.331457097,0.000895903,1,False,False,False,False
1,1,2,12,2,10,100,7.0,8,4.839825329,0.48712439,0.468980467,0.000335463,2,True,False,False,False
1,1,4,12,6,6,100,8.2,12,4.839825329,0.48712439,0.468980467,0.009875696,2,False,False,False,False
1,1,3,11,4,7,100,5.0,7,4.839825329,0.48712439,0.468980467,0.004437436,2,False,False,False,False
1,2,4,11,8,3,60,8.5,12,4.839825329,0.48712439,0.468980467,0.108861544,2,False,False,False,False
1,2,2,12,11,1,40,6.0,6,4.839825329,0.48712439,0.468980467,0.449328964,2,True,False,False,False
1,2,3,12,8,4,100,8.0,12,4.839825329,0.48712439,0.468980467,0.048914645,2,False,False,False,False
1,2,3,12,9,3,60,7.0,9,4.839825329,0.48712439,0.468980467,0.108861544,2,False,False,False,False
1,2,2,12,5,7,40,7.0,8,4.839825329,0.48712439,0.468980467,0.003697864,1,True,False,False,False
2,1,5,12,11,1,100,8.5,12,4.839825329,0.48712439,0.468980467,0.539194757,0,False,False,False,False
2,1,5,12,7,5,40,6.5,6,4.839825329,0.48712439,0.468980467,0.014652511,1,False,False,True,False
2,1,3,12,10,2,60,7.5,10,4.839825329,0.48712439,0.468980467,0.242275822,0,False,False,False,False
2,1,2,12,12,0,40,7.0,10,4.839825329,0.48712439,0.468980467,1.0,2,True,False,False,False
2,1,3,12,3,9,60,7.0,10,4.839825329,0.48712439,0.468980467,0.000895903,1,False,False,False,False
2,1,1,6,6,0,30,6.5,10,4.839825329,0.48712439,0.468980467,0.9,2,False,False,False,True
2,2,3,12,10,2,100,8.8,14,4.839825329,0.48712439,0.468980467,0.242275822,0,False,False,False,False
2,2,1,12,5,7,70,9.5,22,4.839825329,0.48712439,0.468980467,0.004807223,2,False,True,False,False
2,2,3,12,6,6,100,8.6,12,4.839825329,0.48712439,0.468980467,0.009875696,2,False,False,False,False
2,2,2,12,3,9,40,7.5,8,4.839825329,0.48712439,0.468980467,0.000746586,1,True,False,False,False
2,2,3,12,8,4,60,8.0,10,4.839825329,0.48712439,0.468980467,0.048914645,2,False,False,False,False
1,1,2,12,2,10,100,7.0,8,4.221083951,0.451723974,0.643610088,0.000335463,2,True,False,False,False
1,1,4,12,12,0,100,8.2,12,4.221083951,0.451723974,0.643610088,1.0,0,False,False,False,False
1,1,3,11,8,3,100,5.0,7,4.221083951,0.451723974,0.643610088,0.108861544,2,False,False,False,False
1,2,4,11,11,0,60,8.5,12,4.221083951,0.451723974,0.643610088,1.0,0,False,False,False,False
1,2,2,12,4,8,40,6.0,6,4.221083951,0.451723974,0.643610088,0.001661557,1,True,False,False,False
1,2,3,12,6,6,100,8.0,12,4.221083951,0.451723974,0.643610088,0.009875696,2,False,False,False,False
1,2,3,12,6,6,60,7.0,9,4.221083951,0.451723974,0.643610088,0.009875696,2,False,False,False,False
1,2,2,12,4,8,40,7.0,8,4.221083951,0.451723974,0.643610088,0.001661557,1,True,False,False,False
2,1,5,12,6,6,100,8.5,12,4.221083951,0.451723974,0.643610088,0.009875696,0,False,False,False,False
2,1,5,12,7,5,40,6.5,6,4.221083951,0.451723974,0.643610088,0.014652511,1,False,False,True,False
2,1,3,12,5,7,60,7.5,10,4.221083951,0.451723974,0.643610088,0.004437436,2,False,False,False,False
2,1,2,12,5,7,40,7.0,10,4.221083951,0.451723974,0.643610088,0.003697864,1,True,False,False,False
2,1,3,12,9,3,60,7.0,10,4.221083951,0.451723974,0.643610088,0.108861544,2,False,False,False,False
2,1,1,6,4,2,30,6.5,10,4.221083951,0.451723974,0.643610088,0.181706866,1,False,False,False,True
2,2,3,12,11,1,100,8.8,14,4.221083951,0.451723974,0.643610088,0.539194757,0,False,False,False,False
2,2,1,12,1,11,70,9.5,22,4.221083951,0.451723974,0.643610088,0.000195953,2,False,True,False,False
2,2,3,12,10,2,100,8.6,12,4.221083951,0.451723974,0.643610088,0.242275822,0,False,False,False,False
2,2,2,12,8,4,40,7.5,8,4.221083951,0.451723974,0.643610088,0.040762204,1,True,False,False,False
2,2,3,12,4,8,60,8.0,10,4.221083951,0.451723974,0.643610088,0.001993869,2,False,False,False,False
1,1,2,12,11,1,100,7.0,8,3.324837216,0.596395828,0.585291272,0.449328964,2,True,False,False,False
1,1,4,12,6,6,100,8.2,12,3.324837216,0.596395828,0.585291272,0.009875696,2,False,False,False,False
1,1,3,11,9,2,100,5.0,7,3.324837216,0.596395828,0.585291272,0.242275822,0,False,False,False,False
1,2,4,11,7,4,60,8.5,12,3.324837216,0.596395828,0.585291272,0.048914645,2,False,False,False,False
1,2,2,12,11,1,40,6.0,6,3.324837216,0.596395828,0.585291272,0.449328964,2,True,False,False,False
1,2,3,12,11,1,100,8.0,12,3.324837216,0.596395828,0.585291272,0.539194757,0,False,False,False,False
1,2,3,12,6,6,60,7.0,9,3.324837216,0.596395828,0.585291272,0.009875696,1,False,False,False,False
1,2,2,12,2,10,40,7.0,8,3.324837216,0.596395828,0.585291272,0.000335463,1,True,False,False,False
2,1,5,12,6,6,100,8.5,12,3.324837216,0.596395828,0.585291272,0.009875696,2,False,False,False,False
2,1,5,12,5,7,40,6.5,6,3.324837216,0.596395828,0.585291272,0.002958291,1,False,False,True,False
2,1,3,12,7,5,60,7.5,10,3.324837216,0.596395828,0.585291272,0.021978767,2,False,False,False,False
2,1,2,12,6,6,40,7.0,10,3.324837216,0.596395828,0.585291272,0.008229747,1,True,False,False,False
2,1,3,12,9,3,60,7.0,10,3.324837216,0.596395828,0.585291272,0.108861544,2,False,False,False,False
2,1,1,6,1,5,30,6.5,10,3.324837216,0.596395828,0.585291272,0.016484075,1,False,False,False,True
2,2,3,12,11,1,100,8.8,14,3.324837216,0.596395828,0.585291272,0.539194757,0,False,False,False,False
2,2,1,12,3,9,70,9.5,22,3.324837216,0.596395828,0.585291272,0.000970562,2,False,True,False,False
2,2,3,12,5,7,100,8.6,12,3.324837216,0.596395828,0.585291272,0.004437436,2,False,False,False,False
2,2,2,12,4,8,40,7.5,8,3.324837216,0.596395828,0.585291272,0.001661557,1,True,False,False,False
2,2,3,12,6,6,60,8.0,10,3.324837216,0.596395828,0.585291272,0.009875696,2,False,False,False,False
1,1,2,12,9,3,100,7.0,8,5.692896419,0.635437213,0.45009857,0.090717953,2,True,False,False,False
1,1,4,12,7,5,100,8.2,12,5.692896419,0.635437213,0.45009857,0.021978767,0,False,False,False,False
1,1,3,11,3,8,100,5.0,7,5.692896419,0.635437213,0.45009857,0.001993869,2,False,False,False,False
1,2,4,11,11,0,60,8.5,12,5.692896419,0.635437213,0.45009857,1.0,0,False,False,False,False
1,2,2,12,5,7,40,6.0,6,5.692896419,0.635437213,0.45009857,0.003697864,1,True,False,False,False
1,2,3,12,8,4,100,8.0,12,5.692896419,0.635437213,0.45009857,0.048914645,0,False,False,False,False
1,2,3,12,10,2,60,7.0,9,5.692896419,0.635437213,0.45009857,0.242275822,0,False,False,False,False
1,2,2,12,5,7,40,7.0,8,5.692896419,0.635437213,0.45009857,0.003697864,1,True,False,False,False
2,1,5,12,10,2,100,8.5,12,5.692896419,0.635437213,0.45009857,0.242275822,0,False,False,False,False
2,1,5,12,7,5,40,6.5,6,5.692896419,0.635437213,0.45009857,0.014652511,1,False,False,True,False
2,1,3,12,11,1,60,7.5,10,5.692896419,0.635437213,0.45009857,0.539194757,0,False,False,False,False
2,1,2,12,4,8,40,7.0,10,5.692896419,0.635437213,0.45009857,0.001661557,1,True,False,False,False
2,1,3,12,11,1,60,7.0,10,5.692896419,0.635437213,0.45009857,0.539194757,0,False,False,False,False
2,1,1,6,5,1,30,6.5,10,5.692896419,0.635437213,0.45009857,0.404396068,2,False,False,False,True
2,2,3,12,4,8,100,8.8,14,5.692896419,0.635437213,0.45009857,0.001993869,0,False,False,False,False
2,2,1,12,2,10,70,9.5,22,5.692896419,0.635437213,0.45009857,0.000436101,2,False,True,False,False
2,2,3,12,4,8,100,8.6,12,5.692896419,0.635437213,0.45009857,0.001993869,0,False,False,False,False
2,2,2,12,7,5,40,7.5,8,5.692896419,0.635437213,0.45009857,0.018315639,1,True,False,False,False
2,2,3,12,5,7,60,8.0,10,5.692896419,0.635437213,0.45009857,0.004437436,2,False,False,False,False
1,1,2,12,6,6,100,7.0,8,3.05063666,0.261739301,0.531310722,0.008229747,2,True,False,False,False
1,1,4,12,7,5,100,8.2,12,3.05063666,0.261739301,0.531310722,0.021978767,2,False,False,False,False
1,1,3,11,10,1,100,5.0,7,3.05063666,0.261739301,0.531310722,0.539194757,0,False,False,False,False
1,2,4,11,11,0,60,8.5,12,3.05063666,0.261739301,0.531310722,1.0,0,False,False,False,False
1,2,2,12,9,3,40,6.0,6,3.05063666,0.261739301,0.531310722,0.090717953,1,True,False,False,False
1,2,3,12,9,3,100,8.0,12,3.05063666,0.261739301,0.531310722,0.108861544,2,False,False,False,False
1,2,3,12,5,7,60,7.0,9,3.05063666,0.261739301,0.531310722,0.004437436,1,False,False,False,False
1,2,2,12,2,10,40,7.0,8,3.05063666,0.261739301,0.531310722,0.000335463,1,True,False,False,False
2,1,5,12,12,0,100,8.5,12,3.05063666,0.261739301,0.531310722,1.0,0,False,False,False,False
2,1,5,12,5,7,40,6.5,6,3.05063666,0.261739301,0.531310722,0.002958291,1,False,False,True,False
2,1,3,12,5,7,60,7.5,10,3.05063666,0.261739301,0.531310722,0.004437436,1,False,False,False,False
2,1,2,12,7,5,40,7.0,10,3.05063666,0.261739301,0.531310722,0.018315639,1,True,False,False,False
2,1,3,12,9,3,60,7.0,10,3.05063666,0.261739301,0.531310722,0.108861544,1,False,False,False,False
2,1,1,6,6,0,30,6.5,10,3.05063666,0.261739301,0.531310722,0.9,2,False,False,False,True
2,2,3,12,8,4,100,8.8,14,3.05063666,0.261739301,0.531310722,0.048914645,2,False,False,False,False
2,2,1,12,6,6,70,9.5,22,3.05063666,0.261739301,0.531310722,0.010698671,2,False,True,False,False
2,2,3,12,5,7,100,8.6,12,3.05063666,0.261739301,0.531310722,0.004437436,2,False,False,False,False
2,2,2,12,7,5,40,7.5,8,3.05063666,0.261739301,0.531310722,0.018315639,1,True,False,False,False
2,2,3,12,10,2,60,8.0,10,3.05063666,0.261739301,0.531310722,0.242275822,0,False,False,False,False
1,1,2,12,2,10,100,7.0,8,6.075920007,0.657416921,0.641876394,0.000335463,2,True,False,False,False
1,1,4,12,4,8,100,8.2,12,6.075920007,0.657416921,0.641876394,0.001993869,0,False,False,False,False
1,1,3,11,7,4,100,5.0,7,6.075920007,0.657416921,0.641876394,0.048914645,2,False,False,False,False
1,2,4,11,7,4,60,8.5,12,6.075920007,0.657416921,0.641876394,0.048914645,2,False,False,False,False
1,2,2,12,4,8,40,6.0,6,6.075920007,0.657416921,0.641876394,0.001661557,1,True,False,False,False
1,2,3,12,6,6,100,8.0,12,6.075920007,0.657416921,0.641876394,0.009875696,0,False,False,False,False
1,2,3,12,5,7,60,7.0,9,6.075920007,0.657416921,0.641876394,0.004437436,2,False,False,False,False
1,2,2,12,2,10,40,7.0,8,6.075920007,0.657416921,0.641876394,0.000335463,2,True,False,False,False
